,Name,Year,Rating,Critic Consensus,Summary
90,Monarch: Legacy of Monsters: Season 1,(2023),89,"With performances by father-son duo Kurt and Wyatt Russell that work a charm, Monarch adds a welcome wrinkle to the Godzilla legacy by honing its monstrous scope to a very human level.",
91,Lessons in Chemistry: Season 1,(2023),86,"Touching on several hot button issues while benefitting immensely from a perfect pinch of Brie Larson, Lessons in Chemistry's ambitious ingredients add up to satisfying entertainment.",
92,Perry Mason: Season 2,(2023),84,"More cohesive and engaging than its woolly first installment, Perry Mason's sophomore season is a marked improvement driven by an urgent sense of purpose, with Matthew Rhys commandingly watchable as ever.",
93,The Diplomat: Season 1,(2023),83,"Keri Russell's scrappy performance negotiates the best possible terms for The Diplomat, a soapy take on statecraft that manages to make geopolitical crises highly bingeable entertainment.",
94,Ted Lasso: Season 3,(2023),81,"Ted Lasso's third and possibly final season takes time to find its footing, but patient viewers who believe will find that they appreciate Coach as much as ever.",
95,Loki: Season 2,(2023),82,"Loki's dizzying, dazzling second season may rely on sleight of hand to distract from its slightly less satisfying storyline, but the end result still contains enough of that old Marvel magic to entertain.",
96,The Lost Flowers of Alice Hart: Season 1,(2023),82,"Sigourney Weaver is excellent as a thorny matriarch in The Lost Flowers of Alice Hart, a visually appealing and well-acted melodrama.",
97,Jury Duty: Season 1,(2023),83,While this courtroom comedy isn't as tedious as actual jury duty -- largely thanks to a very game James Marsden -- the verdict is still out on whether its stylistic gambit pays off.,
98,Winning Time: The Rise of the Lakers Dynasty: Season 2,(2023),82,"Trying to defend the title is hard, but Winning Time's sophomore season keeps pace as some of the best courtside seats to sports history that television can provide.",
99,Strange Planet: Season 1,(2023),82,"Leveraging its alien conceit to make astute observations about society, Strange Planet is wryly amusing and relatably human.",
100,"XO, Kitty: Season 1",(2023),81,"A modest and sweet extension of all the films that fans have loved before, XO, Kitty aims straight for the heart and finds its mark.",
101,Bodies: Limited Series,(2023),81,"Anchored by the indispensable Stephen Graham, Bodies' multiple twisting time strands coalesce into one satisfying binge.",
102,Break Point: Season 1,(2023),81,"Serving up a fresh look at the next generation of tennis stars, Break Point is strictly for established fans of tennis but full of well-aimed volleys into insight.",
103,The Super Models: Season 1,(2023),83,"Glossy as a magazine cover, The Super Models largely sidesteps the thornier aspects of the fashion world but centers some of its most iconic stars on their own terms.",
104,Full Circle: Limited Series,(2023),78,"Full Circle's windy plotting may prove too labyrinthine for casual enjoyment, but Steven Soderbergh's assured direction and a stacked cast give this simmering noir plenty of intrigue.",
105,The Horror of Dolores Roach: Season 1,(2023),80,"The Horror of Dolores Roach bites off more than it could chew with the delicate balance between horror and humor, but Justina Machado's commitment to the zany premise makes for a savory snack of a series.",
106,Shadow and Bone: Season 2,(2023),80,"Shadow and Bone's sophomore season packs in too much story sinew to properly breathe, but this adventure remains great fun for fantasy fans.",
107,Culprits: Season 1,(2023),83,"lprits is a stylish caper packed with enough twists to solve a Rubik's Cube, making for a bloody entertaining binge.",
108,The Witcher: Season 3,(2023),79,"apably shouldered by Henry Cavill's gruff charm, The Witcher's plotty third season pays a fittingly fond farewell to this particular Geralt of Rivia.",
109,The Consultant: Season 1,(2023),79,"With Christoph Waltz's menacing charm on retainer, The Consultant compensates for its lack of depth with slick presentation and diverting twists.",
110,Lawmen: Bass Reeves: Season 1,(2023),81,"With David Oyelowo capably stepping into the stirrups of Bass Reeves, this gritty procedural is slow to the draw but hits its mark nonetheless.",
111,Bupkis: Season 1,(2023),78,"Pete Davidson's second crack at playing a fictionalized version of himself may feel faintly recycled, but a terrific supporting cast and some surprising depth ensure this series adds up to more than just Bupkis.",
112,The Buccaneers: Season 1,(2023),76,"Anachronistic to the max and loving it, The Buccaneers is a feminist and frothy treat for fans of period piece pageantry.",
113,Based on a True Story: Season 1,(2023),76,"True crime enthusiasts have been satirized more sharply, but engaging leads and a lightly humorous touch make Based on a True Story worth investigating.",
114,Rabbit Hole: Season 1,(2023),76,"Although Rabbit Hole tumbles into one twist too many, Kiefer Sutherland remains compelling in his welcome return to the espionage genre.",
115,That '90s Show: Season 1,(2023),75,"A solidly serviceable sequel series, That '90s Show may take a little time to find its rhythm, but still delivers a respectable number of warmly nostalgic laughs.",
116,Goosebumps: Season 1,(2023),74,"Wickedly inventive enough to give viewers the creeps if not nightmares, Goosebumps solidly transplants R.L. Stine's spooky stories into a serialized format.",
117,The Night Agent: Season 1,(2023),74,"Bingeable as a beach read and just as forgettable, The Night Agent is a routine spy thriller told with commendable bravado.",
118,The Walking Dead: Daryl Dixon: Season 1,(2023),71,"g Norman Reedus' fan favorite character in a fresh setting, Daryl Dixon can be a wobbly shot across the crossbow but still gives The Walking Dead faithful plenty more to chew on.",
119,Hunters: Season 2,(2023),71,"While it never realizes its full potential as a revenge fantasy for real historical atrocity, Hunters tracks down a satisfying enough conclusion in this second and final season.",
